H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	CYTH4	1097.5
0	DAAM1	802.75
0	DAAM2	238.5
0	DAB1	11.0
0	DAB2IP	2.0
0	DACH2	39.0
0	DACT1	217.5
0	DACT3	700.5
0	DAGLA	32.0
0	DAND5	675.75
0	DAP3	1382.0
0	DAPK1	99.75
0	DAPK2	523.5
0	DAPK3	228.5
0	DAPL1	78.0
0	DAW1	75.75
0	DAXX	1957.25
0	DBT	2254.25
0	DCAF10	2345.0
0	DCAF17	682.5
0	DCAF8L2	2.25
0	DCBLD2	120.75
0	DCDC2	74.75
0	DCHS2	63.25
0	DCLK1	30.75
0	DCLK2	16.5
0	DCN	133.25
0	DCP1B	796.75
0	DCT	6.0
0	DCTD	648.0
0	DCTN2	1104.5
0	DCTN3	491.0
0	DCTN6	583.75
0	DCUN1D1	2290.25
0	DCUN1D2	983.75
0	DCX	32.75
0	DCXR	609.75
0	DDC	0.25
0	DDHD2	2505.0
0	DDIT4	2274.0
0	DDN	16.5
0	DDOST	2046.75
0	DDR2	53.75
0	DDX39A	2540.75
0	DDX3X	25454.5
0	DDX4	7.0
0	DDX5	19588.25
0	DDX60	195.25
0	DDX60L	982.75
0	DEDD	902.0
0	DEFA3	17.0
0	DENND1A	450.5
0	DENND2A	342.75
0	DENND2C	312.5
0	DENND4C	823.0
0	DENND5A	937.5
0	DENND5B	115.25
0	DENND6A	975.0
0	DEPDC4	322.0
0	DEPTOR	49.0
0	DERL2	405.75
0	DFFA	1849.0
0	DGKB	184.5
0	DGKD	2448.0
0	DGKE	1844.75
0	DGKG	32.0
0	DGKH	1825.0
0	DHCR24	867.0
0	DHCR7	298.0
0	DHDDS	1136.75
0	DHRS2	252.5
0	DHRS3	798.75
0	DHRS9	88.25
0	DHX29	234.25
