RE_count	Gene_Name	Mean_Gene_Expression
0	PPP1R12B	270.0
0	PPP1R42	0.3333333333333333
0	PPP2R1A	15044.833333333334
0	PPP3CB	391.5
0	PPP4R2	662.5
0	PRDM10	274.0
0	PRDM11	175.66666666666666
0	PREX2	34.0
0	PRH1	196.66666666666663
0	PRKG2	25.83333333333333
0	PRMT1	3493.5
0	PRPF40B	300.8333333333333
0	PRR34	75.66666666666667
0	PRRC1	1089.3333333333333
0	PRRT4	0.5
0	PRSS12	59.833333333333336
0	PRSS35	206.16666666666663
0	PSMA7	3099.0
0	PTBP1	440.6666666666667
0	PTPRB	356.0
0	PTPRM	27.5
0	PTPRU	0.1666666666666666
0	PUM1	3413.0
0	PUS7	329.8333333333333
0	PWWP2A	469.0
0	PYHIN1	73.83333333333333
0	PZP	3.1666666666666665
0	RAB18	1774.8333333333333
0	RAB3C	0.3333333333333333
0	RAB3GAP2	1038.6666666666667
0	RAB3IP	1051.6666666666667
0	RAB7B	3.6666666666666665
0	RABEP1	516.8333333333334
0	RABL6	172.66666666666666
0	RAD54L	56.16666666666666
0	RAI14	13.166666666666666
0	RALGAPA1	468.3333333333333
0	RALGAPA2	660.8333333333334
0	RALGPS1	136.5
0	RALGPS2	160.5
0	RANBP10	485.0
0	RBBP6	1518.6666666666667
0	RBBP9	373.5
0	RBFOX1	15.0
0	RBL1	446.8333333333333
0	RBM11	37.0
0	RBM24	5.5
0	RBM28	1424.3333333333333
0	RBM45	259.5
0	RC3H2	889.0
0	RCAN2	1.1666666666666667
0	RCL1	532.3333333333334
0	RCN1	240.66666666666663
0	RDH16	127.5
0	REV1	375.0
0	RFK	116.83333333333331
0	RFTN2	99.0
0	RGL1	4.5
0	RGS17	57.833333333333336
0	RGS5	37.333333333333336
0	RHAG	23.0
0	RHBDD3	193.16666666666663
0	RIC1	261.3333333333333
0	RIT2	0.3333333333333333
0	RMI1	383.6666666666667
0	RNF10	2222.1666666666665
0	RNF113A	828.1666666666666
0	RNF13	1723.0
0	ROPN1	0.1666666666666666
0	ROPN1L	2.6666666666666665
0	ROR1	6.166666666666667
0	RPA2	4532.833333333333
0	RPGR	475.6666666666667
0	RPL15	86751.66666666667
0	RPL36A	9885.666666666666
0	RPL39	9794.833333333334
0	RPP38	288.5
0	RPS2	5317.0
0	RPS24	3864.5
0	RPS6KA6	47.16666666666666
0	RRAS2	112.66666666666669
0	RSBN1L	929.1666666666666
0	RSPRY1	2157.5
0	RTEL1	39.5
0	RTN3	835.1666666666666
0	RWDD3	438.0
0	S100A7A	15.666666666666666
0	SAPCD2	1.5
0	SAR1A	4677.333333333333
0	SASH1	38.16666666666666
0	SCMH1	753.8333333333334
0	SCN8A	8.333333333333334
0	SCP2	3436.1666666666665
0	SDCBP	2054.333333333333
0	SDR42E1	1111.8333333333333
0	SEC16A	773.0
0	SEC61G	1412.8333333333333
0	SEMA5A	61.0
0	SENP2	1170.0
0	SENP5	3567.6666666666665
0	SERPINI2	4.5
0	SETMAR	179.33333333333334
0	SFI1	1458.5
0	SFSWAP	463.6666666666667
0	SFXN4	567.5
0	SFXN5	493.1666666666667
0	SGPL1	4241.666666666667
0	SH3RF1	114.5
0	SHCBP1	57.333333333333336
0	SHOC2	1846.5
0	SHQ1	928.0
0	SIL1	264.3333333333333
0	SIM1	1.1666666666666667
0	SIPA1L2	1.0
0	SIT1	0.1666666666666666
0	SKI	96.16666666666669
0	SLC13A3	20.166666666666668
0	SLC15A2	158.0
0	SLC20A2	499.0
0	SLC22A9	22.5
0	SLC24A1	241.16666666666663
0	SLC25A14	163.83333333333334
0	SLC25A27	22.5
0	SLC26A3	0.1666666666666666
0	SLC26A5	8.5
0	SLC30A6	294.5
0	SLC37A3	424.8333333333333
0	SLC38A6	126.83333333333331
0	SLC39A1	1347.5
0	SLC39A5	8.666666666666666
0	SLC41A2	345.0
0	SLC44A3	115.66666666666669
0	SLC46A3	191.5
0	SLC5A6	1155.3333333333333
0	SLC7A9	130.5
0	SLCO2B1	19.0
0	SLCO4C1	14.333333333333334
0	SLF2	1764.5
0	SMARCAD1	575.1666666666666
0	SMC5	3486.1666666666665
0	SMIM10L1	1174.3333333333333
0	SMIM7	3145.333333333333
0	SMPD3	91.16666666666669
0	SMPDL3A	25.666666666666668
0	SNAPC2	110.83333333333331
0	SNRPB	2469.1666666666665
0	SNRPD1	4182.5
0	SNRPF	951.1666666666666
0	SNX13	653.0
0	SNX8	458.3333333333333
0	SOCS6	132.33333333333334
0	SOSTDC1	0.3333333333333333
0	SOX6	236.5
0	SP2	558.5
0	SPAG6	3.6666666666666665
0	SPINK5	11.5
0	SPINK9	195.33333333333331
0	SPRR1A	15.833333333333334
0	SPRR2D	37.333333333333336
0	SPRR3	194.16666666666663
0	SPRY4	20.166666666666668
0	SPTBN4	0.3333333333333333
0	SPTLC1	1576.5
0	SRGAP2C	1858.3333333333333
0	SRI	3743.5
0	SRP68	289.1666666666667
0	SRPX2	65.66666666666667
0	SSX5	3.5
0	ST3GAL3	760.3333333333334
0	ST6GAL1	541.8333333333334
0	ST7L	336.3333333333333
